,evttime,car_m,ret_m,abret_m,abret_t,sar_t,pat_ar,cret_edate_m,car_edate_m,pat_car_edate_m,car_edate_t,scar_edate_t,bhar_edate_m,pat_scale_m,pat_car_edate_mean,sar_m,scar_edate_m,scar_m,car_v,abret_v,sar_v,pat_scale_v,car_edate_v,scar_edate_v,scar_v,scar_n,scar_edate_n,sar_n,car_n,n,pat_scale_edate_s,pat_scale_s,pat_car
-94,[-94],,-0.009665076447776682,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,129,0.0,0.0,
-93,[-93],,-8.00771181027151e-05,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,110,0.0,0.0,
-92,[-92],,-0.013574877717593288,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,122,0.0,0.0,
-91,[-91],,-0.00976504866953175,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,117,0.0,0.0,
-90,[-90],,-0.00037330349225031084,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,129,0.0,0.0,
-89,[-89],,-0.0021303244784343033,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,117,0.0,0.0,
-88,[-88],,-0.0002040044129721092,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,133,0.0,0.0,
-87,[-87],,-0.003284424919688159,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,114,0.0,0.0,
-86,[-86],,-0.0012299447935074567,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,125,0.0,0.0,
-85,[-85],,0.0069554045601347625,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,114,0.0,0.0,
-84,[-84],,0.009458608653862029,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,125,0.0,0.0,
-83,[-83],0.09271289754629135,0.0020998416394622135,0.09271289754629135,,,3.358283823817786,0.12380953543500495,0.09009569642670451,0.7121502688878039,,,0.08324541904249641,1.0273972602739727,0,3.403976860542048,0.7218398335871004,0.7428086489196225,,,,,,,,1,1,1,1,104,1.0273972602739727,1.0273972602739727,0.7328376108471784
-82,[-82],0.14533839763641357,-0.011145058071726175,0.05262550009012222,,,1.9062220074044964,0.12380953543500495,0.09009569642670451,0.7121502688878039,,,0.08324541904249641,1.0273972602739727,0,1.9321581928963798,0.7218398335871004,1.164440133375658,,,,,,,,1,1,1,1,118,1.0273972602739727,1.0273972602739727,1.1488093556244057
-81,[-81],0.19778735716104506,-0.008375943195947323,0.0524489595246315,,,1.8998272841132833,0.12380953543500495,0.09009569642670451,0.7121502688878039,,,0.08324541904249641,1.0273972602739727,0,1.925676462567788,0.7218398335871004,1.5846571883143097,,,,,,,,1,1,1,1,99,1.0273972602739727,1.0273972602739727,1.5633856573763818
-80,[-80],0.19485735716104507,-0.006538911556521721,-0.00293,,,-0.10613163717457041,0.12380953543500495,0.09009569642670451,0.7121502688878039,,,0.08324541904249641,1.0273972602739727,0,-0.10757567140438445,0.7218398335871004,1.5611822522597245,,,,,,,,1,1,1,1,109,1.0273972602739727,1.0273972602739727,1.5402258354248552
-79,[-79],0.14357348023056984,0.002985205039945676,-0.05128387693047524,,,-1.8576251942971056,0.12380953543500495,0.09009569642670451,0.7121502688878039,,,0.08324541904249641,1.0273972602739727,0,-1.8829001682647428,0.7218398335871004,1.1502997500159975,,,,,,,,1,1,1,1,95,1.0273972602739727,1.0273972602739727,1.1348587846761156
-13,[-13],-0.045080255192324246,-0.002703643537382459,-0.004501919676122339,-1.181414557390398,-0.9602550340025919,-1.0985189009306213,-0.06221886222913245,-0.0786784894634314,-5.236490098405913,-3.5809120422753518,-3.9198235580163643,-0.06800300367587525,1.02339988301291,0,-0.0865143687095439,-0.41240222151259726,-0.2831348443495649,0.2042899539063079,0.049830297411013066,1.178147607715956,0.0019894009401404864,0.2873163991905357,1.3514390055781618,1.0638758056616218,165,165,165,165,171,168.86098069713015,168.86098069713015,-3.5951135362759126
