keydevid,companyid,keydeveventtypeid,announcedate,gvkey
56538,1038889,25,20031008,
56566,1038328,25,20020322,143356
56587,7765521,25,20020322,
56626,21803,25,20020425,007267
56670,178254,25,20031007,005667
56696,354979,25,20020109,061860
56726,25798,25,20020322,002403
56732,27060,25,20020322,063707
56807,8160114,25,20020109,
56998,334578,25,20020110,029677
57055,257521,25,20020117,021300
57097,121670,25,20020124,023950
57115,343032,25,20020123,029768
57118,110529,25,20020117,
57118,135827,25,20020117,006127
57118,1589616,25,20020117,
57138,327972,25,20031007,
57154,345588,25,20031007,001393
57196,8083027,25,20031003,
57308,238379,25,20020117,112048
57345,26866,25,20020320,024779
57357,327972,25,20031006,
57427,405853,25,20031006,066490
57466,295969,25,20020319,008486
57540,269027,25,20020319,004245
57708,7925535,25,20020402,
57746,277603,25,20020318,020237
57779,24375,25,20020318,140441
57793,1475968,25,20020318,
57818,8057820,25,20020315,
57832,24375,25,20020315,140441
57844,331112,25,20020315,028735
57848,21803,25,20030317,007267
57883,261974,25,20020318,012756
57950,8122544,25,20020315,
57955,106335,25,20020315,004839
57969,385488,25,20020314,066686
57978,1006492,25,20020313,
58029,283857,25,20020201,006435
58064,135827,25,20020313,006127
58097,24336,25,20031004,063728
58097,31335,25,20031004,031549
58097,317975,25,20031004,025356
58097,1541811,25,20031004,007186
58102,19609,25,20031005,126136
58107,398006,25,20031004,211009
58134,890180,25,20020313,
58218,100440,25,20020313,126716
58219,27185,25,20020313,119273
58230,135827,25,20020313,006127
58239,528350,25,20020313,140528
58245,96781,25,20020212,
58254,747533,25,20020313,142380
58276,200128,25,20020312,025495
58312,339972,25,20020313,061489
58568,100440,25,20020312,126716
58585,30295,25,20020312,006185
58598,404980,25,20031003,113198
58598,982041,25,20031003,
58612,691780,25,20020312,014291
58623,765808,25,20020312,014609
58723,103678,25,20030331,002111
58782,21835,25,20031003,012141
58813,119902,25,20031003,001878
58897,29062,25,20020115,061877
59082,883203,25,20031002,105974
59122,320417,25,20020131,022345
59154,3604985,25,20031002,
59182,33765,25,20031002,031460
59220,7770120,25,20020118,
59243,3152324,25,20031001,004798
59258,99428,25,20031002,133945
59285,416514,25,20031002,137232
59309,249248,25,20031002,014592
59340,413817,25,20031001,064835
59340,730944,25,20031001,
59440,6518599,25,20031001,
59469,6710983,25,20031001,
59527,170388,25,20031001,001998
59534,21835,25,20020125,012141
59534,24689,25,20020125,025056
59545,290898,25,20020125,007733
59563,311679,25,20020124,015247
59592,139673,25,20031001,009459
59603,862673,25,20020125,
59643,1040441,25,20031001,
59649,396414,25,20031001,029322
59777,410537,25,20020118,130421
59796,357445,25,20020118,063291
59824,311679,25,20020123,015247
59879,368197,25,20031001,025312
59880,362798,25,20020226,065009
59912,26515,25,20031001,016401
59912,396414,25,20031001,029322
60129,7665529,25,20020123,
60139,8102481,25,20020206,
60202,121670,25,20020204,023950
60241,2732517,25,20030930,
60330,29614,25,20020312,012206
60330,6464622,25,20020312,
60356,283857,25,20020130,006435
60579,1541811,25,20030930,007186
60584,21835,25,20030930,012141
60595,23021,25,20030930,009818
60632,347255,25,20030930,028828
60875,414570,25,20020227,066235
60890,21835,25,20020228,012141
60973,4180247,25,20020213,
60978,27185,25,20020214,119273
60986,294585,25,20020211,008245
61110,288502,25,20030929,007257
61168,135827,25,20020227,006127
61217,21835,25,20030929,012141
61217,1379496,25,20030929,160261
61242,92274,25,20020205,113491
61244,269027,25,20020206,004245
61247,269027,25,20020206,004245
61262,269027,25,20020205,004245
61275,291795,25,20020205,007881
61465,3037529,25,20020222,
61465,3109153,25,20020222,
61493,29538,25,20020225,122674
61498,100440,25,20020311,126716
61523,528414,25,20020311,140760
